;user_id;original_image;face_id;age;gender;x;y;dx;dy;tilt_ang;fiducial_yaw_angle;fiducial_score
40;30601258@N03;10997183284_95e21d361c_o.jpg;2;(25, 32);m;117;70;940;890;-105;0;100
41;30601258@N03;9509748416_476cc2c5a8_o.jpg;7;(25, 32);f;438;144;496;497;180;0;52
42;30601258@N03;9914124745_f218c5b9f2_o.jpg;5;(25, 32);f;1018;1045;886;886;-95;0;137
43;30601258@N03;9914124745_f218c5b9f2_o.jpg;2;(25, 32);m;809;632;823;823;-100;0;76
44;30601258@N03;10204731983_643dfbf861_o.jpg;1;(25, 32);f;704;495;720;721;-80;30;145
45;30601258@N03;11097082974_48166bc382_o.jpg;2;(25, 32);m;5;14;804;805;-95;0;76
47;30601258@N03;9432313004_680bb1d1a6_o.jpg;7;(25, 32);f;1165;725;784;784;0;0;49
48;30601258@N03;9985321195_e46e991539_o.jpg;5;(25, 32);f;653;190;588;588;0;0;89
49;30601258@N03;9985321195_e46e991539_o.jpg;7;(25, 32);f;369;253;500;500;0;0;62
50;30601258@N03;10266570995_3fb4d97697_o.jpg;1;(25, 32);f;321;310;1326;1326;-105;0;90
51;30601258@N03;9563675153_5e0473fb1a_o.jpg;7;(25, 32);f;935;902;638;637;185;0;36
52;30601258@N03;8747478879_afab76198a_o.jpg;8;(25, 32);m;243;140;576;577;0;0;97
53;30601258@N03;10287590274_fa9248e48e_o.jpg;2;(25, 32);m;661;9;1351;1352;-85;30;54
54;30601258@N03;11340757554_66cc393151_o.jpg;2;(25, 32);m;129;62;864;864;-95;0;71
55;30601258@N03;11518749884_eb4fca177c_o.jpg;5;(25, 32);f;734;299;546;616;-15;0;86
56;30601258@N03;9347747777_863b82f4ea_o.jpg;8;(25, 32);m;1902;670;1362;1397;-5;0;101
57;30601258@N03;9347747777_863b82f4ea_o.jpg;9;(25, 32);m;215;490;1275;1275;15;-15;81
58;30601258@N03;9347747777_863b82f4ea_o.jpg;2;(25, 32);m;833;712;1116;1116;5;0;84
59;30601258@N03;10190337616_76cca76bbe_o.jpg;5;(25, 32);f;293;460;516;516;-110;30;79
61;30601258@N03;10204589664_c7222c7d67_o.jpg;2;(25, 32);m;729;301;1244;1243;-95;0;68
62;30601258@N03;9159870407_d39a7d85db_o.jpg;2;(25, 32);m;134;71;812;812;-85;0;33
63;30601258@N03;10453815245_e33b2aab12_o.jpg;2;(25, 32);m;32;128;768;768;200;0;93
64;30601258@N03;10453815245_e33b2aab12_o.jpg;7;(25, 32);f;0;238;393;480;200;0;76
65;30601258@N03;11551510215_3203d081c4_o.jpg;2;(25, 32);m;1563;541;1065;1065;-15;0;102
66;30601258@N03;11551510215_3203d081c4_o.jpg;10;(25, 32);m;506;854;1008;1007;20;0;148
68;30601258@N03;10588577114_53d8cb5477_o.jpg;2;(25, 32);m;177;136;708;708;-95;0;50
69;30601258@N03;9350125152_bd50d6245f_o.jpg;2;(25, 32);m;565;310;1460;1460;-95;30;86
70;30601258@N03;11624618793_d3da5f88f3_o.jpg;5;(25, 32);f;143;0;801;646;-85;0;77
71;30601258@N03;11624618793_d3da5f88f3_o.jpg;2;(25, 32);m;15;224;769;736;-80;0;21
72;30601258@N03;11096974205_611e53636e_o.jpg;2;(25, 32);m;7;73;812;812;-95;0;101
73;30601258@N03;10522285296_ef07a93da2_o.jpg;2;(25, 32);m;278;52;660;660;0;0;111
74;30601258@N03;11341821874_593070c9fd_o.jpg;2;(25, 32);m;39;16;776;776;-100;0;55
75;30601258@N03;10204418104_848f2c26f5_o.jpg;2;(25, 32);m;607;1153;484;485;-90;0;91
76;30601258@N03;9548694012_b8b24dc217_o.jpg;5;(25, 32);f;983;1043;1045;1046;160;30;93
77;30601258@N03;9548694012_b8b24dc217_o.jpg;7;(25, 32);f;1424;825;835;835;180;15;71
78;30601258@N03;11707674806_3160d8d433_o.jpg;2;(25, 32);m;112;0;768;720;-105;0;28
79;30601258@N03;11340738754_00de202eee_o.jpg;2;(25, 32);m;129;62;864;864;-95;0;71
80;30601258@N03;11227387126_eccd313828_o.jpg;2;(25, 32);m;109;109;733;733;-95;0;73
81;30601258@N03;11551480385_3990a8b517_o.jpg;5;(25, 32);f;176;205;812;755;-90;0;75
82;30601258@N03;11551480385_3990a8b517_o.jpg;2;(25, 32);m;204;0;773;676;-90;0;56
83;30601258@N03;10343195333_c8541f4ec4_o.jpg;2;(25, 32);m;339;329;704;631;-90;30;43
85;30601258@N03;11097388595_277592df2f_o.jpg;2;(25, 32);m;0;12;858;864;-90;0;43
86;30601258@N03;10852267285_6a8bf80e7a_o.jpg;3;(25, 32);m;182;240;792;720;-90;0;84
87;30601258@N03;10852267285_6a8bf80e7a_o.jpg;2;(25, 32);m;206;0;636;569;-90;0;89
88;30601258@N03;11409398323_d5cd88a959_o.jpg;2;(25, 32);m;178;1200;771;771;-90;0;113
89;30601258@N03;11518646533_80f36f9e43_o.jpg;1;(25, 32);f;1093;1131;1026;1026;-105;30;134
91;30601258@N03;9347820185_8b51eb5b82_o.jpg;2;(25, 32);m;686;208;1256;1256;-75;30;100
92;30601258@N03;10343011254_8f847beb9f_o.jpg;5;(25, 32);f;257;249;736;711;-95;0;32
93;30601258@N03;10343011254_8f847beb9f_o.jpg;2;(25, 32);m;188;0;681;679;-90;30;84
94;30601258@N03;9921471513_1d92175234_o.jpg;1;(25, 32);f;854;992;491;491;-95;0;138
95;30601258@N03;11312228296_2048ec3603_o.jpg;2;(25, 32);m;87;87;684;684;-90;0;55
96;30601258@N03;11485348446_8baca5e588_o.jpg;2;(25, 32);m;133;308;656;652;-75;0;44
97;30601258@N03;11485348446_8baca5e588_o.jpg;5;(25, 32);f;178;21;641;640;-90;0;101
98;30601258@N03;8748602310_6a49559e57_o.jpg;2;(25, 32);m;549;101;616;616;-10;0;43
99;30601258@N03;8748602310_6a49559e57_o.jpg;8;(25, 32);m;220;191;540;541;0;0;67
100;30601258@N03;11727489873_7e5fb32c26_o.jpg;2;(25, 32);m;1536;318;1230;1231;0;30;83
101;30601258@N03;11727338963_25827f6dd1_o.jpg;3;(25, 32);m;1845;709;1058;1058;200;0;100
102;30601258@N03;11727338963_25827f6dd1_o.jpg;2;(25, 32);m;489;938;822;823;185;0;117
103;30601258@N03;10152966915_9d05ac9527_o.jpg;5;(25, 32);f;1212;906;587;587;0;30;23
104;30601258@N03;10152966915_9d05ac9527_o.jpg;2;(25, 32);m;1043;682;415;414;-10;30;92
105;30601258@N03;9505515072_ea8945f17e_o.jpg;5;(25, 32);f;581;612;1492;1491;160;30;158
106;30601258@N03;11431643434_694787070f_o.jpg;2;(25, 32);m;254;175;724;724;-90;0;35
107;30601258@N03;11097521786_f2dcd7c4ed_o.jpg;2;(25, 32);m;76;12;776;776;-85;0;45
108;30601258@N03;11232858245_2eb1fca5c9_o.jpg;2;(25, 32);m;965;508;440;440;10;0;72
109;30601258@N03;10975323316_e880dd4424_o.jpg;2;(25, 32);m;148;262;676;676;-95;45;71
110;30601258@N03;11438099064_15987611e6_o.jpg;2;(25, 32);m;1377;962;745;746;-100;30;49
111;30601258@N03;9254720125_2e3cf6aa77_o.jpg;2;(25, 32);m;1287;130;1530;1530;-15;15;110
112;30601258@N03;11097060086_97c5a74b7d_o.jpg;2;(25, 32);m;129;176;660;661;-95;0;112
113;30601258@N03;10491698983_0be018cba3_o.jpg;2;(25, 32);m;289;90;800;801;-5;0;43
114;30601258@N03;9350518786_80944b96b0_o.jpg;2;(25, 32);m;135;0;640;606;-100;30;47
115;30601258@N03;10570987096_7459372b32_o.jpg;2;(25, 32);m;596;156;684;688;-5;0;28
116;30601258@N03;10765523195_d07320dc72_o.jpg;2;(25, 32);m;1;0;780;731;10;0;30
117;30601258@N03;11227393176_65b115a55a_o.jpg;2;(25, 32);m;123;156;660;660;-105;0;70
118;30601258@N03;10765613784_339fd884bc_o.jpg;2;(25, 32);m;1;0;724;704;5;0;41
119;30601258@N03;11861584505_dd512cc570_o.jpg;2;(25, 32);m;0;160;634;660;10;0;51
120;30601258@N03;10438443205_b5075c685d_o.jpg;1;(25, 32);f;0;232;476;568;-25;30;104
121;30601258@N03;11623896043_31951552e1_o.jpg;2;(25, 32);m;0;151;837;809;-100;0;22
122;30601258@N03;11623896043_31951552e1_o.jpg;5;(25, 32);f;224;0;768;576;-90;0;34
123;30601258@N03;9921409973_984200003f_o.jpg;5;(25, 32);f;368;1506;644;643;-90;30;97
124;30601258@N03;11233977894_1966999567_o.jpg;5;(25, 32);f;1059;1067;274;274;-90;0;50
125;30601258@N03;9904044896_cb797f78d2_o.jpg;1;(25, 32);f;521;377;1083;1084;-85;0;94
126;30601258@N03;10518169163_cfae8458a4_o.jpg;2;(25, 32);m;278;0;776;761;5;0;96
127;30601258@N03;9347599043_17243c033d_o.jpg;2;(25, 32);m;844;953;1007;1007;-75;0;103
128;30601258@N03;11141063444_5f3b4d7f7b_o.jpg;2;(25, 32);m;540;796;835;836;-85;0;13
129;30601258@N03;8684790923_738984c1e6_o.jpg;2;(25, 32);m;231;202;817;758;-95;0;19
130;30601258@N03;9731134701_c9761a710d_o.jpg;2;(25, 32);m;1705;796;1198;1199;180;0;79
131;30601258@N03;10161472134_4141902cc4_o.jpg;1;(25, 32);f;1064;1649;497;497;175;15;62
132;30601258@N03;9509754012_cfa8420a6c_o.jpg;2;(25, 32);m;0;0;1222;960;-115;30;101
133;30601258@N03;9921332073_ce95d92c31_o.jpg;5;(25, 32);f;478;1013;854;854;-110;30;127
134;30601258@N03;9921332073_ce95d92c31_o.jpg;1;(25, 32);f;415;1600;823;822;-80;30;67
135;30601258@N03;10892842693_d9740465e9_o.jpg;5;(25, 32);f;607;1083;306;306;-90;-15;33
136;30601258@N03;11438238643_075679d25d_o.jpg;2;(25, 32);m;1673;541;1371;1371;-75;0;14
137;30601258@N03;10189889883_2620f87300_o.jpg;5;(25, 32);f;601;20;632;632;180;0;49
138;30601258@N03;10189311806_0e6eb9196e_o.jpg;2;(25, 32);m;0;116;676;688;15;0;7
139;30601258@N03;10189311806_0e6eb9196e_o.jpg;1;(25, 32);f;800;272;472;473;10;30;116
140;30601258@N03;11465821155_db87787a39_o.jpg;2;(25, 32);m;97;146;720;720;-95;0;125
141;30601258@N03;11706049596_e600fa5b55_o.jpg;2;(25, 32);m;550;130;684;684;190;0;52
142;30601258@N03;11706049596_e600fa5b55_o.jpg;11;(25, 32);m;289;230;513;512;175;0;91
143;30601258@N03;10588542065_e368d96274_o.jpg;2;(25, 32);m;130;62;747;748;-100;45;41
144;30601258@N03;9509805978_1a5a66d319_o.jpg;2;(25, 32);m;1042;478;542;541;20;0;104
145;30601258@N03;9509805978_1a5a66d319_o.jpg;5;(25, 32);f;2033;596;529;529;-10;30;103
146;30601258@N03;9347583481_b203e9008b_o.jpg;2;(25, 32);m;1282;403;816;816;20;0;64
147;30601258@N03;10517898816_ac065b2240_o.jpg;2;(25, 32);m;878;1595;593;593;-80;0;69
148;30601258@N03;10437970754_1e6c88559a_o.jpg;2;(25, 32);m;57;0;1140;960;-90;0;77
149;30601258@N03;11625270986_e926cf12e1_o.jpg;2;(25, 32);m;124;114;777;776;-100;30;55
151;30601258@N03;10997997875_35e9d33ff3_o.jpg;5;(25, 32);f;570;1133;504;503;-105;0;138
152;30601258@N03;10346718334_096b1be146_o.jpg;2;(25, 32);m;139;0;668;604;-105;0;97
153;30601258@N03;10346718334_096b1be146_o.jpg;5;(25, 32);f;176;320;640;640;-100;0;89
154;30601258@N03;9094529035_b77d4423f5_o.jpg;2;(25, 32);m;1593;503;459;459;-15;15;95
155;30601258@N03;9094529035_b77d4423f5_o.jpg;5;(25, 32);f;1290;637;453;453;0;0;162
156;30601258@N03;10204584823_2754da78a3_o.jpg;2;(25, 32);m;339;118;792;792;-100;45;57
157;30601258@N03;11816666824_99e63e5cde_o.jpg;2;(25, 32);m;1042;618;612;612;5;0;42
158;30601258@N03;9347939451_4144142a53_o.jpg;2;(25, 32);m;1421;1184;242;242;-85;0;73
159;30601258@N03;11314750106_1c5c161eb5_o.jpg;2;(25, 32);m;865;1029;797;797;-95;0;80
160;30601258@N03;11340800613_0f8e45d3fc_o.jpg;2;(25, 32);m;105;0;740;741;-110;30;60
161;30601258@N03;10399716146_f643bf78fa_o.jpg;2;(25, 32);m;238;0;620;498;-75;0;9
162;30601258@N03;9096750284_8c52613ecd_o.jpg;5;(25, 32);f;1397;675;1020;1020;-10;15;100
163;30601258@N03;10438003975_c480af4852_o.jpg;2;(25, 32);m;0;0;940;948;-80;0;93
164;30601258@N03;9545919013_2e0be71cb7_o.jpg;5;(25, 32);f;621;459;1052;1051;200;0;61
165;30601258@N03;11727342573_95f82a3c49_o.jpg;3;(25, 32);m;1950;841;969;969;200;0;137
166;30601258@N03;11727342573_95f82a3c49_o.jpg;2;(25, 32);m;462;817;841;842;190;0;68
167;30601258@N03;11140995385_040a159593_o.jpg;2;(25, 32);m;189;328;988;988;-95;0;50
169;30601258@N03;9921382773_99dd53ae10_o.jpg;3;(25, 32);m;223;690;854;854;-105;0;88
170;30601258@N03;9921382773_99dd53ae10_o.jpg;5;(25, 32);f;272;1365;842;842;-80;-30;71
171;30601258@N03;9921382773_99dd53ae10_o.jpg;1;(25, 32);f;326;278;778;778;-90;30;170
172;30601258@N03;11341800246_7117e6e710_o.jpg;2;(25, 32);m;13;0;976;898;-85;0;58
173;30601258@N03;9731067751_95cc86d112_o.jpg;2;(25, 32);m;75;121;889;839;-95;0;47
175;30601258@N03;9347819127_ee866d1f6f_o.jpg;5;(25, 32);f;208;379;1065;1064;-100;30;160
176;30601258@N03;9347389503_3c169d1088_o.jpg;5;(25, 32);f;14;49;2263;2263;-105;-45;50
177;30601258@N03;11861466665_82ea096241_o.jpg;1;(25, 32);f;1855;600;752;753;0;30;145
178;30601258@N03;11861466665_82ea096241_o.jpg;9;(25, 32);m;610;310;746;746;10;-15;69
179;30601258@N03;11861466665_82ea096241_o.jpg;2;(25, 32);m;1125;436;688;689;-5;0;119
180;30601258@N03;10034776565_6f0a3bbced_o.jpg;2;(25, 32);m;84;192;837;768;-80;0;24
181;30601258@N03;9347841549_95fc94da30_o.jpg;7;(25, 32);f;1275;1402;612;612;0;0;5
182;30601258@N03;9548349764_4aecb2d624_o.jpg;5;(25, 32);f;352;0;1606;1514;-90;0;150
183;30601258@N03;9159865727_20921d0809_o.jpg;2;(25, 32);m;22;0;960;938;-85;0;82
184;30601258@N03;11232923183_9f23d38e0b_o.jpg;5;(25, 32);f;844;1171;485;484;-110;0;116
185;30601258@N03;9731072165_6b26334d80_o.jpg;2;(25, 32);m;204;119;692;692;-85;0;70
186;30601258@N03;9505494278_2c88bd76cf_o.jpg;2;(25, 32);m;1987;1004;778;777;195;0;46
187;30601258@N03;9505494278_2c88bd76cf_o.jpg;7;(25, 32);f;1614;867;701;701;185;0;78
188;30601258@N03;10152675314_02d5855224_o.jpg;5;(25, 32);f;532;505;982;981;-15;0;37
189;30601258@N03;10152675314_02d5855224_o.jpg;1;(25, 32);f;1247;68;938;937;10;0;120
190;30601258@N03;11562448075_722ca0be18_o.jpg;1;(25, 32);f;43;492;1281;1281;-90;30;69
191;30601258@N03;11431794093_349af0f151_o.jpg;2;(25, 32);m;344;18;812;812;0;0;50
192;30601258@N03;11232826564_48f760cf51_o.jpg;5;(25, 32);f;1201;741;638;637;-80;0;22
193;30601258@N03;10571493783_a715bf1292_o.jpg;1;(25, 32);f;753;270;1084;1084;-80;0;156
194;30601258@N03;10997076746_f8519635f1_o.jpg;2;(25, 32);m;158;109;836;836;-85;0;12
195;30601258@N03;10517974494_0385a85988_o.jpg;2;(25, 32);m;466;21;672;672;-10;30;49
196;30601258@N03;10518106303_1d9f3333bb_o.jpg;1;(25, 32);f;825;1214;708;708;175;30;139
197;30601258@N03;9162091422_684a359550_o.jpg;2;(25, 32);m;88;132;716;716;-80;0;33
198;30601258@N03;11341868543_14bd313a8c_o.jpg;2;(25, 32);m;40;17;927;928;-90;0;82
199;30601258@N03;10399863183_a04f4c26a1_o.jpg;5;(25, 32);f;1351;908;899;899;180;-45;66
200;30601258@N03;10399863183_a04f4c26a1_o.jpg;1;(25, 32);f;97;1359;663;663;195;0;98
201;30601258@N03;11167359214_0cf11f0e79_o.jpg;2;(25, 32);m;663;347;924;924;15;0;83
202;30601258@N03;10204462444_bee83d77a0_o.jpg;1;(25, 32);f;251;376;1365;1364;-90;15;155
203;30601258@N03;8662914803_7003151fd2_o.jpg;2;(25, 32);m;102;0;804;761;-95;0;90
204;30601258@N03;9671705985_3260c07f79_o.jpg;2;(25, 32);m;769;852;606;606;5;0;67
206;30601258@N03;11778665943_ab38cd2473_o.jpg;2;(25, 32);m;104;0;712;614;-85;0;17
207;30601258@N03;10590139995_a2a8ea121a_o.jpg;2;(25, 32);m;603;200;608;608;195;0;65
208;30601258@N03;10590139995_a2a8ea121a_o.jpg;11;(25, 32);m;382;268;520;520;190;0;110
210;30601258@N03;10190024035_1931fbeb4e_o.jpg;5;(25, 32);f;193;0;840;687;-70;0;17
211;30601258@N03;10459231615_f33acdd788_o.jpg;9;(25, 32);m;387;639;644;643;-100;0;110
212;30601258@N03;11141052345_12bb2fbd9d_o.jpg;5;(25, 32);f;1045;465;1301;1300;-5;15;166
213;30601258@N03;11141052345_12bb2fbd9d_o.jpg;2;(25, 32);m;2264;494;599;599;5;0;137
214;30601258@N03;11141052345_12bb2fbd9d_o.jpg;1;(25, 32);f;737;202;485;484;5;0;79
216;30601258@N03;9902259805_b23166e7ab_o.jpg;2;(25, 32);m;11;0;832;778;-105;0;40
217;30601258@N03;10189334335_366c6e040a_o.jpg;5;(25, 32);f;678;838;727;727;175;0;126
218;30601258@N03;10189334335_366c6e040a_o.jpg;2;(25, 32);m;1412;1063;618;618;195;0;68
219;30601258@N03;11137811696_6cb1a9177d_o.jpg;2;(25, 32);m;187;125;684;684;-110;45;62
220;30601258@N03;10795424174_39d0c5864d_o.jpg;2;(25, 32);m;87;128;596;596;-95;0;98
221;30601258@N03;11097049006_cab1378fb3_o.jpg;2;(25, 32);m;18;77;804;804;-85;0;65
222;30601258@N03;11312257434_e33b34ddc1_o.jpg;2;(25, 32);m;84;21;717;717;-100;15;99
223;30601258@N03;11097499604_11ef266ea1_o.jpg;2;(25, 32);m;0;49;850;861;-90;30;44
224;30601258@N03;11341807336_a1a9a57e74_o.jpg;2;(25, 32);m;6;0;857;739;-85;0;13
225;30601258@N03;11861480225_770e434a7b_o.jpg;1;(25, 32);f;1950;796;823;823;0;30;163
226;30601258@N03;11861480225_770e434a7b_o.jpg;2;(25, 32);m;1176;702;803;804;5;0;79
227;30601258@N03;11861480225_770e434a7b_o.jpg;9;(25, 32);m;576;506;785;784;10;0;67
228;30601258@N03;11861480225_770e434a7b_o.jpg;5;(25, 32);f;1592;935;714;714;5;0;110
229;30601258@N03;11778404375_ffb7f41b7e_o.jpg;2;(25, 32);m;181;0;632;576;-90;0;59
230;30601258@N03;10166320964_524ae99114_o.jpg;2;(25, 32);m;1000;959;765;765;-110;30;65
231;30601258@N03;10166320964_524ae99114_o.jpg;5;(25, 32);f;1466;1072;637;638;-110;30;103
232;30601258@N03;11234106703_dbd428197d_o.jpg;2;(25, 32);m;1931;774;772;771;175;0;69
233;30601258@N03;11234106703_dbd428197d_o.jpg;5;(25, 32);f;1534;911;765;765;155;30;127
234;30601258@N03;9988128584_470de84ba5_o.jpg;5;(25, 32);f;793;184;1498;1499;185;0;83
235;30601258@N03;9988128584_470de84ba5_o.jpg;2;(25, 32);m;1480;782;1473;1473;175;0;136
236;30601258@N03;10399397284_4a56c40bc6_o.jpg;9;(25, 32);m;632;1077;1046;1045;180;0;165
237;30601258@N03;10399397284_4a56c40bc6_o.jpg;1;(25, 32);f;2103;1066;950;950;200;0;139
238;30601258@N03;10517977154_9829f428d6_o.jpg;2;(25, 32);m;466;21;672;672;-10;30;49
239;30601258@N03;10459252494_1d099faa7c_o.jpg;1;(25, 32);f;720;1434;765;765;-95;-45;73
240;30601258@N03;10424818843_2b87f9e995_o.jpg;2;(25, 32);m;275;104;656;656;0;0;89
241;30601258@N03;10189865164_9cdb04beb9_o.jpg;2;(25, 32);m;171;49;776;776;-110;30;67
242;30601258@N03;11465969043_69ef0cce7a_o.jpg;2;(25, 32);m;275;124;720;720;-90;0;69
243;30601258@N03;9429548405_70ee3d448a_o.jpg;7;(25, 32);f;372;248;620;620;180;0;63
244;30601258@N03;10795434905_eafdf817ee_o.jpg;3;(25, 32);m;1810;492;695;695;-10;0;69
245;30601258@N03;11727323213_42802044c9_o.jpg;2;(25, 32);m;54;1075;1224;1224;-85;0;43
246;30601258@N03;11727323213_42802044c9_o.jpg;3;(25, 32);m;204;556;1147;1147;-80;30;82
247;30601258@N03;9509731012_11d3df8f8d_o.jpg;7;(25, 32);f;637;556;1237;1236;-75;30;97
249;30601258@N03;9545553817_e7f180e925_o.jpg;5;(25, 32);f;203;45;517;517;-5;-30;109
250;30601258@N03;9545553817_e7f180e925_o.jpg;7;(25, 32);f;774;288;356;356;15;0;37
251;30601258@N03;11097077374_0e234f0f5e_o.jpg;2;(25, 32);m;148;248;648;648;-100;30;74
252;30601258@N03;9506987707_15a100803e_o.jpg;2;(25, 32);m;280;910;1332;1332;-70;-15;96
253;30601258@N03;11123023576_bb846bb1cf_o.jpg;2;(25, 32);m;1448;761;1403;1403;-10;30;89
254;30601258@N03;11816211415_c4dd0f13c9_o.jpg;5;(25, 32);f;901;309;379;489;180;0;32
255;30601258@N03;10997060085_ebcff55cc2_o.jpg;2;(25, 32);m;111;207;704;704;-90;30;59
256;30601258@N03;10204420704_afc74e5fef_o.jpg;2;(25, 32);m;134;277;772;683;-105;-15;42
257;30601258@N03;10204420704_afc74e5fef_o.jpg;11;(25, 32);m;220;36;629;629;-95;0;140
258;30601258@N03;11862321136_bec50c2222_o.jpg;9;(25, 32);m;0;90;637;696;0;0;24
259;30601258@N03;11862321136_bec50c2222_o.jpg;2;(25, 32);m;364;212;596;633;0;0;50
260;30601258@N03;10424781253_4df1079d28_o.jpg;2;(25, 32);m;800;140;480;608;-25;30;110
261;30601258@N03;10997187524_97cf66d438_o.jpg;2;(25, 32);m;31;41;936;919;-100;0;140
262;30601258@N03;8816723008_6f72635de4_o.jpg;8;(25, 32);m;541;868;689;689;-80;0;98
263;30601258@N03;9734298486_93378d82bc_o.jpg;2;(25, 32);m;118;149;701;701;-100;0;103
264;30601258@N03;10287311584_61358a8419_o.jpg;2;(25, 32);m;90;86;729;729;-90;0;116
265;30601258@N03;11228124216_69347937a1_o.jpg;2;(25, 32);m;216;433;612;612;15;0;57
266;30601258@N03;11228124216_69347937a1_o.jpg;1;(25, 32);f;2041;1110;587;587;10;30;119
267;30601258@N03;9505435482_e0f9cc0571_o.jpg;7;(25, 32);f;1694;1023;879;879;180;0;89
268;30601258@N03;10346565095_efb5c43573_o.jpg;2;(25, 32);m;269;54;868;868;-100;30;60
269;30601258@N03;9988153884_e7e144a3d5_o.jpg;2;(25, 32);m;223;364;712;596;-95;0;106
270;30601258@N03;9988153884_e7e144a3d5_o.jpg;3;(25, 32);m;319;201;544;544;-100;0;125
271;30601258@N03;11705826244_ee3515059a_o.jpg;2;(25, 32);m;175;104;769;769;-95;0;9
272;30601258@N03;10189178324_0f0ef6ab76_o.jpg;1;(25, 32);f;776;278;444;444;5;30;132
273;30601258@N03;10795352956_5d07570fce_o.jpg;5;(25, 32);f;216;368;1409;1409;-95;0;110
274;30601258@N03;11431652935_94cc6f1f36_o.jpg;2;(25, 32);m;237;7;712;712;195;0;22
